"Type","Phylum","count_above_2","count_below_2"
"cn_control_vs_us_control","Actinomycetota",14,13
"cn_control_vs_us_control","Bacillota",17,49
"cn_control_vs_us_control","Bacteroidota",1,44
"cn_control_vs_us_control","Campylobacterota",4,3
"cn_control_vs_us_control","Fusobacteriota",0,12
"cn_control_vs_us_control","Patescibacteria",0,3
"cn_control_vs_us_control","Pseudomonadota",11,14
"cn_control_vs_us_control","Synergistota",0,1
"cn_ecigarettes_vs_cn_control","Actinomycetota",5,11
"cn_ecigarettes_vs_cn_control","Bacillota",29,5
"cn_ecigarettes_vs_cn_control","Bacteroidota",2,0
"cn_ecigarettes_vs_cn_control","Campylobacterota",4,1
"cn_ecigarettes_vs_cn_control","Patescibacteria",1,0
"cn_ecigarettes_vs_cn_control","Pseudomonadota",3,5
"cn_ecigarettes_vs_us_ecigarettes","Actinomycetota",12,14
"cn_ecigarettes_vs_us_ecigarettes","Bacillota",42,34
"cn_ecigarettes_vs_us_ecigarettes","Bacteroidota",3,26
"cn_ecigarettes_vs_us_ecigarettes","Campylobacterota",5,2
"cn_ecigarettes_vs_us_ecigarettes","Fusobacteriota",0,8
"cn_ecigarettes_vs_us_ecigarettes","Patescibacteria",2,0
"cn_ecigarettes_vs_us_ecigarettes","Pseudomonadota",6,5
"cn_ecigarettes_vs_us_ecigarettes","Spirochaetota",0,4
"cn_tobacco_vs_cn_control","Actinomycetota",2,8
"cn_tobacco_vs_cn_control","Bacillota",21,7
"cn_tobacco_vs_cn_control","Bacteroidota",1,1
"cn_tobacco_vs_cn_control","Campylobacterota",2,0
"cn_tobacco_vs_cn_control","Cyanobacteriota",1,1
"cn_tobacco_vs_cn_control","Patescibacteria",2,0
"cn_tobacco_vs_cn_control","Pseudomonadota",16,12
"cn_tobacco_vs_cn_ecigarettes","Actinomycetota",0,6
"cn_tobacco_vs_cn_ecigarettes","Bacillota",5,19
"cn_tobacco_vs_cn_ecigarettes","Bacteroidota",0,5
"cn_tobacco_vs_cn_ecigarettes","Campylobacterota",1,2
"cn_tobacco_vs_cn_ecigarettes","Cyanobacteriota",1,0
"cn_tobacco_vs_cn_ecigarettes","Fusobacteriota",0,1
"cn_tobacco_vs_cn_ecigarettes","Pseudomonadota",13,5
"cn_tobacco_vs_cn_ecigarettes","Spirochaetota",0,1
"cn_tobacco_vs_us_tobacco","Actinomycetota",14,14
"cn_tobacco_vs_us_tobacco","Bacillota",46,60
"cn_tobacco_vs_us_tobacco","Bacteroidota",3,64
"cn_tobacco_vs_us_tobacco","Campylobacterota",5,5
"cn_tobacco_vs_us_tobacco","Cyanobacteriota",2,0
"cn_tobacco_vs_us_tobacco","Fusobacteriota",2,17
"cn_tobacco_vs_us_tobacco","Patescibacteria",4,4
"cn_tobacco_vs_us_tobacco","Pseudomonadota",30,19
"cn_tobacco_vs_us_tobacco","Spirochaetota",0,19
"cn_tobacco_vs_us_tobacco","Synergistota",0,3
"us_ecigarettes_vs_us_control","Actinomycetota",3,0
"us_ecigarettes_vs_us_control","Bacillota",8,12
"us_ecigarettes_vs_us_control","Bacteroidota",4,17
"us_ecigarettes_vs_us_control","Fusobacteriota",0,3
"us_ecigarettes_vs_us_control","Patescibacteria",0,2
"us_ecigarettes_vs_us_control","Pseudomonadota",0,6
"us_ecigarettes_vs_us_control","Spirochaetota",2,0
"us_tobacco_vs_us_control","Actinomycetota",1,0
"us_tobacco_vs_us_control","Bacillota",1,6
"us_tobacco_vs_us_control","Bacteroidota",6,4
"us_tobacco_vs_us_control","Fusobacteriota",2,0
"us_tobacco_vs_us_control","Pseudomonadota",1,2
"us_tobacco_vs_us_control","Spirochaetota",4,0
"us_tobacco_vs_us_control","Synergistota",1,0
"us_tobacco_vs_us_ecigarettes","Actinomycetota",0,2
"us_tobacco_vs_us_ecigarettes","Bacillota",4,5
"us_tobacco_vs_us_ecigarettes","Bacteroidota",10,1
"us_tobacco_vs_us_ecigarettes","Campylobacterota",1,0
"us_tobacco_vs_us_ecigarettes","Fusobacteriota",3,1
"us_tobacco_vs_us_ecigarettes","Patescibacteria",2,0
"us_tobacco_vs_us_ecigarettes","Pseudomonadota",5,2
"us_tobacco_vs_us_ecigarettes","Spirochaetota",3,2
"us_tobacco_vs_us_ecigarettes","Synergistota",1,0
