"ASV","s.cn_control","s.cn_ecigarettes","s.cn_tobacco","s.us_control","s.us_ecigarettes","s.us_tobacco","index","stat","p.value","Domain","Phylum","Class","Order","Family","Genus","Species"
"394eda29c886632f514dd94b58381186",0,0,0,1,1,1,41,0.969866375351746,0.005,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Haemophilus",NA
"32f8fd11d2bee278d609a1d4ab767554",0,1,0,1,1,1,55,0.999565623028992,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotella",NA
"85c44c83eddc5d3028261a1000b7d0e1",0,1,0,1,1,1,55,0.98665101943876,0.015,"d__Bacteria","p__Bacillota","c__Bacilli","o__Staphylococcales","f__Gemellaceae","g__Gemella",NA
"8674dcf0cfe35939037fa9a5b986866f",0,0,0,1,1,1,41,0.990527250876528,0.005,"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Fusobacteriaceae","g__Fusobacterium",NA
"f0232e28323111f209fbb997f84dd4a7",0,0,0,1,1,1,41,0.961044579644248,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae",NA,NA
"33518e48b174ac428cb7be1a216c6c6e",0,0,0,0,0,1,6,0.612372435695794,0.045,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes",NA
"3916a456bb0a3bfd02c15fd537ff5923",0,1,1,1,1,1,62,0.929686154078974,0.02,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Megasphaera",NA
"8b53c1e7c9d8c5c7f2478c690c456448",0,1,1,1,1,1,62,0.971454089590305,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Oribacterium",NA
"35ffcc3b809d667286737d79670b8de5",0,0,0,0,1,1,21,0.67595442347645,0.035,"d__Bacteria","p__Actinomycetota","c__Actinobacteria","o__Bifidobacteriales","f__Bifidobacteriaceae","g__Bifidobacterium",NA
"d8a05ea8aecfcf5910db345be88e712a",0,0,0,1,1,1,41,0.9732036850083,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Hoylesella",NA
"17ae20a577370dc92154c6b1f5b2a5aa",0,0,0,1,1,1,41,0.964688038754637,0.005,"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Leptotrichia",NA
"0a21726cd4952a96635576553da67787",0,0,0,1,1,1,41,0.968807721957471,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Incertae_Sedis",NA
"1f0532e025d966a685fd0d1f3144bc8a",0,0,0,1,1,1,41,0.81683370607947,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Peptostreptococcus",NA
"e78ecb138a8bee2a728274b849db12c1",0,1,0,1,0,1,36,0.830908386780266,0.005,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Aggregatibacter",NA
"f3384f1f36a908bd09b3c265bac26f8c",0,0,0,1,0,1,20,0.801818175954382,0.01,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae",NA,NA
"f9612c98d79c37a803a973724113cef6",0,0,0,1,1,1,41,0.945905302926917,0.005,"d__Bacteria","p__Actinomycetota","c__Coriobacteriia","o__Coriobacteriales","f__Atopobiaceae","g__Lancefieldella",NA
"9847664b4858be92db8ad749403db4f0",0,0,1,1,0,1,39,0.880452213795252,0.005,"d__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Absconditabacteriales_(SR1)","f__Incertae_Sedis","g__Incertae_Sedis",NA
"59f7d8a7f37d6eeec95eb556f33da267",0,0,0,1,0,0,4,0.63856815292266,0.02,"d__Bacteria","p__Pseudomonadota","c__Gammaproteobacteria","o__Enterobacterales","f__Pasteurellaceae","g__Actinobacillus",NA
"814d36cce47414becceb7665900831e6",0,0,0,1,1,1,41,0.851353328597116,0.005,"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Pseudoleptotrichia",NA
"f117f249f9d1425f4ecfc792bd51c3f9",0,1,1,1,0,1,53,0.943488753499194,0.015,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Selenomonadaceae","g__Selenomonas",NA
"818434292143daca42a3168f3728da82",0,1,0,1,1,1,55,0.864036927341527,0.005,"d__Bacteria","p__Bacillota","c__Negativicutes","o__Veillonellales-Selenomonadales","f__Veillonellaceae","g__Dialister",NA
"d7926eba30ca0f01bac6fc5d090e9ab9",0,0,0,1,0,1,20,0.943559567464598,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Flavobacteriaceae","g__Capnocytophaga",NA
"38beb9295889cd97ccde32e38be9b052",0,1,1,1,0,1,53,0.867209195429003,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae",NA,NA
"3c7228b66038b74285cde6a69d28a4bd",0,0,0,1,1,1,41,0.901747750125433,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Alloprevotella",NA
"ff48ea2b9d30c737b53aeb9841179d57",0,0,0,1,1,1,41,0.986268876028664,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Family_XI","g__Parvimonas",NA
"09f9294499192d4eecf29e85501cc425",0,0,0,1,1,1,41,0.924527687270257,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Weeksellaceae","g__Bergeyella",NA
"d23dcbe0b3e253d3d5f462f07b5bea0b",0,1,1,1,1,1,62,0.888088265448457,0.005,"d__Bacteria","p__Bacillota","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Stomatobaculum",NA
"98bcf713cdab713b589f72f2ebcef570",0,0,0,1,1,1,41,0.846289285363855,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Peptostreptococcaceae","g__Filifactor",NA
"45d4fe3f6c01f77c2dfc11dd91d3359a",0,0,0,0,1,0,5,0.628420777189389,0.025,"d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Ligilactobacillus",NA
"8e493df449e84acb4e24f5811ff3599b",0,0,0,1,1,1,41,0.888523316638639,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Erysipelotrichales","f__Erysipelotrichaceae","g__Solobacterium",NA
"e7e1373564db3d14aa3c8cb4371d2f41",0,0,0,0,0,1,6,0.701137178432077,0.015,"d__Bacteria","p__Fusobacteriota","c__Fusobacteriia","o__Fusobacteriales","f__Leptotrichiaceae","g__Oceanivirga",NA
"09ba0dcc9d08747a09b3a4ec08c8d529",0,0,0,1,1,1,41,0.725476250110012,0.02,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_brachy_group",NA
"550e67990490201211cecffcea993240",0,0,0,1,1,1,41,0.936413072459622,0.005,"d__Bacteria","p__Spirochaetota","c__Spirochaetia","o__Spirochaetales","f__Spirochaetaceae","g__Treponema",NA
"2ef1e51ab1cf99a3c6417b05a060830e",0,0,0,0,1,0,5,0.616639771444797,0.01,"d__Bacteria","p__Bacillota","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae",NA,NA
"300568e1ddcb6356519af1a75ab2df4b",0,0,0,1,1,1,41,0.858395075278952,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__Mogibacterium",NA
"b688fd2360318f8ca8b3cc33fb7af7d2",0,0,0,1,0,1,20,0.758199706183856,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptostreptococcales-Tissierellales","f__Anaerovoracaceae","g__[Eubacterium]_sulci_group",NA
"a82d1e0712d504e0239634e3e5321438",0,0,0,0,0,1,6,0.915582459877325,0.005,"d__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Paludibacteraceae","g__F0058",NA
"a4eac9fcad4c5f9555c01a06d10b6fc6",0,0,0,1,1,1,41,0.760885910252682,0.01,"d__Bacteria","p__Bacillota","c__Clostridia","o__Peptococcales","f__Peptococcaceae","g__Peptococcus",NA
"e646037b0d1ed8bbd16c6ce2f4372732",0,0,0,0,1,1,21,0.871589786268134,0.005,"d__Bacteria","p__Bacillota","c__Bacilli","o__Mycoplasmatales","f__Mycoplasmataceae","g__Mycoplasma",NA
