# Constructed from biom file
#OTU ID	Stewart.CO10spitDNA.Project12.Integrated	Stewart.CO10stoolDNA.Project12.Integrated	Stewart.CO10swabDNA.Project12.Integrated	Stewart.CO1spitDNA.Project10	Stewart.CO1stoolDNA.Project10	Stewart.CO1swabDNA.Project10	Stewart.CO2spitDNA.Project10	Stewart.CO2stoolDNA.Project10	Stewart.CO2swabDNA.Project10	Stewart.CO3spitDNA.Project10	Stewart.CO3stoolDNA.Project10	Stewart.CO3swabDNA.Project10	Stewart.CO4spitDNA.Project10	Stewart.CO4stoolDNA.Project10	Stewart.CO4swabDNA.Project10	Stewart.CO5spitDNA.Project10	Stewart.CO5stoolDNA.Project10	Stewart.CO5swabDNA.Project10	Stewart.CO6spitDNA.Project10	Stewart.CO6stoolDNA.Project10	Stewart.CO6swabDNA.Project10	Stewart.CO7spitDNA.Project10	Stewart.CO7stoolDNA.Project10	Stewart.CO7swabDNA.Project10	Stewart.CO8spitDNA.Project10	Stewart.CO8stoolDNA.Project10	Stewart.CO8swabDNA.Project10	Stewart.CO9spitDNA.Project10	Stewart.CO9stoolDNA.Project10	Stewart.CO9swabDNA.Project10	Stewart.EC10spitDNA.Project12.Integrated	Stewart.EC10stoolDNA.Project12.Integrated	Stewart.EC10swabDNA.Project12.Integrated	Stewart.EC11spitDNA.Project12.Integrated	Stewart.EC11stoolDNA.Project12.Integrated	Stewart.EC11swabDNA.Project12.Integrated	Stewart.EC1spitDNA.Pool264	Stewart.EC1stoolDNA.Pool264	Stewart.EC1swabDNA.Pool264	Stewart.EC2spitDNA.Pool264	Stewart.EC2stoolDNA.Pool264	Stewart.EC2swabDNA.Pool264	Stewart.EC3spitDNA.Pool264	Stewart.EC3stoolDNA.Pool264	Stewart.EC3swabDNA.Pool264	Stewart.EC4spitDNA.Pool264	Stewart.EC4stoolDNA.Pool264	Stewart.EC4swabDNA.Pool264	Stewart.EC6spitDNA.Pool264	Stewart.EC6stoolDNA.Pool264	Stewart.EC6swabDNA.Pool264	Stewart.EC7spitDNA.Project10	Stewart.EC7stoolDNA.Project10	Stewart.EC7swabDNA.Project10	Stewart.EC8spitDNA.Project10	Stewart.EC8stoolDNA.Project10	Stewart.EC8swabDNA.Project10	Stewart.EC9spitDNA.Project10	Stewart.EC9stoolDNA.Project10	Stewart.EC9swabDNA.Project10	Stewart.TS10spitDNA.Project12.Integrated	Stewart.TS10stoolDNA.Project12.Integrated	Stewart.TS10swabDNA.Project12.Integrated	Stewart.TS11spitDNA.Project12.Integrated	Stewart.TS11stoolDNA.Project12.Integrated	Stewart.TS11swabDNA.Project12.Integrated	Stewart.TS12spitDNA.Project12.Integrated	Stewart.TS12stoolDNA.Project12.Integrated	Stewart.TS12swabDNA.Project12.Integrated	Stewart.TS1spitDNA.Pool264	Stewart.TS1stoolDNA.Pool264	Stewart.TS1swabDNA.Pool264	Stewart.TS2spitDNA.Pool264	Stewart.TS2stoolDNA.Pool264	Stewart.TS2swabDNA.Pool264	Stewart.TS3spitDNA.Pool264	Stewart.TS3stoolDNA.Pool264	Stewart.TS3swabDNA.Pool264	Stewart.TS4spitDNA.Pool264	Stewart.TS4stoolDNA.Pool264	Stewart.TS4swabDNA.Pool264	Stewart.TS5spitDNA.Pool264	Stewart.TS5stoolDNA.Pool264	Stewart.TS5swabDNA.Pool264	Stewart.TS8spitDNA.Project10	Stewart.TS8stoolDNA.Project10	Stewart.TS8swabDNA.Project10	Stewart.TS9spitDNA.Project12.Integrated	Stewart.TS9stoolDNA.Project12.Integrated	Stewart.TS9swabDNA.Project12.Integrated
06f825b512d903b9230e1a55d87359ee	1209.0	0.0	4347.0	1559.0	0.0	2218.0	1202.0	0.0	13580.0	1039.0	0.0	3790.0	642.0	0.0	1179.0	1388.0	18.0	3592.0	1375.0	0.0	3988.0	991.0	0.0	5053.0	1084.0	0.0	2801.0	134.0	0.0	435.0	5361.0	0.0	3907.0	373.0	0.0	1661.0	198.0	0.0	948.0	1567.0	0.0	1851.0	587.0	0.0	619.0	39.0	0.0	873.0	678.0	0.0	3275.0	1152.0	0.0	853.0	1339.0	0.0	13347.0	1223.0	0.0	6170.0	1186.0	0.0	4676.0	1352.0	0.0	6071.0	2340.0	0.0	7854.0	197.0	0.0	838.0	542.0	0.0	3272.0	431.0	0.0	4555.0	431.0	0.0	1611.0	1504.0	0.0	2806.0	690.0	0.0	1190.0	1246.0	0.0	4905.0
394eda29c886632f514dd94b58381186	523.0	0.0	5957.0	4851.0	10.0	1595.0	2574.0	0.0	202.0	962.0	16.0	2545.0	1257.0	6.0	245.0	2310.0	185.0	727.0	4034.0	4.0	6385.0	3639.0	0.0	5690.0	2285.0	5.0	2660.0	3683.0	0.0	2456.0	420.0	0.0	38.0	1817.0	3.0	692.0	680.0	5.0	1489.0	2241.0	10.0	5699.0	5964.0	6.0	14345.0	0.0	0.0	0.0	116.0	0.0	74.0	2808.0	0.0	1698.0	726.0	0.0	1281.0	15.0	0.0	0.0	3070.0	0.0	2871.0	49.0	0.0	21.0	114.0	11.0	45.0	189.0	0.0	49.0	102.0	0.0	10.0	1423.0	6.0	176.0	3685.0	0.0	894.0	1427.0	0.0	537.0	1948.0	12.0	1396.0	482.0	0.0	267.0
923f521b9cf313f1f95c9367e09bbc1c	1183.0	0.0	94.0	1061.0	0.0	388.0	346.0	0.0	0.0	2022.0	0.0	268.0	2896.0	0.0	54.0	2289.0	0.0	159.0	0.0	0.0	0.0	0.0	0.0	0.0	1358.0	5.0	867.0	5478.0	0.0	3167.0	560.0	0.0	241.0	2013.0	0.0	151.0	4548.0	0.0	173.0	570.0	22.0	171.0	345.0	0.0	0.0	8744.0	14.0	818.0	1743.0	0.0	0.0	1581.0	0.0	0.0	817.0	0.0	73.0	5265.0	0.0	1190.0	895.0	0.0	96.0	3279.0	0.0	617.0	2072.0	0.0	116.0	1597.0	0.0	1408.0	775.0	0.0	141.0	350.0	0.0	19.0	1742.0	0.0	823.0	1577.0	0.0	498.0	1392.0	0.0	190.0	2098.0	0.0	474.0
32f8fd11d2bee278d609a1d4ab767554	969.0	0.0	38.0	1734.0	0.0	933.0	2797.0	0.0	0.0	5419.0	0.0	276.0	1145.0	0.0	72.0	3061.0	0.0	242.0	1811.0	0.0	0.0	0.0	0.0	0.0	4334.0	0.0	599.0	6303.0	0.0	2583.0	1614.0	0.0	521.0	3169.0	0.0	204.0	3922.0	0.0	37.0	1082.0	0.0	123.0	425.0	0.0	22.0	0.0	0.0	0.0	3127.0	0.0	0.0	3466.0	0.0	0.0	375.0	0.0	263.0	0.0	0.0	0.0	4737.0	0.0	909.0	103.0	0.0	0.0	299.0	0.0	35.0	491.0	0.0	347.0	1568.0	0.0	83.0	4649.0	0.0	101.0	503.0	0.0	245.0	586.0	0.0	197.0	2757.0	0.0	372.0	1798.0	0.0	309.0
85c44c83eddc5d3028261a1000b7d0e1	594.0	0.0	918.0	868.0	0.0	1363.0	263.0	3.0	5016.0	790.0	0.0	6724.0	178.0	0.0	162.0	200.0	0.0	512.0	529.0	0.0	748.0	902.0	0.0	2730.0	363.0	0.0	304.0	57.0	0.0	164.0	4205.0	0.0	6129.0	343.0	0.0	295.0	132.0	0.0	124.0	939.0	0.0	1166.0	501.0	0.0	589.0	4.0	0.0	88.0	287.0	0.0	1620.0	1280.0	0.0	250.0	852.0	4.0	10482.0	193.0	0.0	511.0	506.0	0.0	1337.0	98.0	0.0	987.0	225.0	3.0	434.0	53.0	0.0	131.0	82.0	0.0	1444.0	187.0	0.0	543.0	183.0	0.0	690.0	402.0	0.0	501.0	265.0	0.0	230.0	35.0	0.0	105.0
4f5efd25dacb5d639316e7291ff6ff8b	61.0	0.0	0.0	4910.0	0.0	2674.0	3386.0	0.0	116.0	269.0	0.0	188.0	521.0	0.0	152.0	1034.0	0.0	216.0	5262.0	0.0	365.0	3120.0	0.0	634.0	1254.0	0.0	285.0	1357.0	0.0	1253.0	1564.0	0.0	148.0	156.0	0.0	61.0	196.0	0.0	31.0	149.0	0.0	157.0	2518.0	0.0	252.0	0.0	0.0	0.0	0.0	0.0	0.0	838.0	0.0	149.0	618.0	0.0	1306.0	0.0	0.0	0.0	1942.0	0.0	302.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1633.0	0.0	37.0	0.0	0.0	0.0	128.0	0.0	56.0	409.0	0.0	89.0	44.0	0.0	8.0
8674dcf0cfe35939037fa9a5b986866f	1580.0	0.0	126.0	1055.0	0.0	611.0	4179.0	0.0	40.0	283.0	0.0	250.0	256.0	0.0	32.0	1002.0	0.0	124.0	2066.0	0.0	137.0	4655.0	0.0	611.0	1797.0	0.0	312.0	2160.0	0.0	1101.0	87.0	0.0	35.0	223.0	0.0	26.0	231.0	0.0	22.0	1595.0	0.0	2218.0	315.0	0.0	296.0	0.0	0.0	0.0	954.0	0.0	0.0	3968.0	0.0	73.0	2309.0	0.0	873.0	0.0	0.0	0.0	234.0	0.0	54.0	0.0	0.0	0.0	38.0	0.0	0.0	170.0	0.0	124.0	0.0	0.0	0.0	1143.0	0.0	31.0	93.0	0.0	60.0	173.0	0.0	102.0	1490.0	0.0	180.0	30.0	9.0	0.0
c6c3ab4e828fb40d6e05967b7aac9338	0.0	1219.0	0.0	0.0	1913.0	0.0	0.0	919.0	0.0	0.0	701.0	0.0	3.0	505.0	0.0	0.0	563.0	0.0	0.0	1256.0	0.0	0.0	3884.0	7.0	0.0	715.0	6.0	0.0	1139.0	9.0	0.0	752.0	0.0	0.0	1370.0	0.0	0.0	552.0	0.0	0.0	884.0	0.0	12.0	1436.0	0.0	0.0	1766.0	15.0	0.0	1131.0	0.0	0.0	1321.0	0.0	0.0	1090.0	0.0	0.0	2476.0	0.0	0.0	1056.0	0.0	0.0	735.0	0.0	0.0	474.0	0.0	0.0	380.0	0.0	106.0	570.0	0.0	0.0	2544.0	0.0	0.0	719.0	0.0	0.0	813.0	0.0	0.0	865.0	0.0	0.0	284.0	3.0
263e41ea2c25dc87bd2ff5910cf30d40	0.0	1207.0	0.0	3.0	682.0	0.0	4.0	677.0	0.0	0.0	1117.0	9.0	0.0	1517.0	0.0	0.0	1184.0	6.0	0.0	161.0	0.0	0.0	0.0	14.0	0.0	407.0	0.0	0.0	397.0	0.0	0.0	2328.0	0.0	0.0	1196.0	0.0	0.0	821.0	0.0	0.0	1275.0	0.0	0.0	282.0	0.0	0.0	679.0	0.0	0.0	3383.0	0.0	0.0	2272.0	0.0	0.0	2887.0	0.0	0.0	1619.0	0.0	0.0	502.0	0.0	0.0	746.0	0.0	0.0	250.0	0.0	0.0	278.0	0.0	116.0	392.0	0.0	0.0	1137.0	0.0	0.0	1569.0	0.0	0.0	397.0	0.0	0.0	1452.0	19.0	0.0	1232.0	0.0
fd496fd32dc8c08ade2e8b6c9d8ee13d	420.0	10.0	230.0	335.0	69.0	424.0	273.0	146.0	14.0	1065.0	76.0	181.0	1844.0	102.0	457.0	1098.0	445.0	152.0	148.0	23.0	2343.0	0.0	30.0	0.0	405.0	4.0	1327.0	317.0	17.0	246.0	241.0	16.0	151.0	571.0	360.0	77.0	47.0	7.0	106.0	129.0	22.0	39.0	165.0	0.0	14.0	2008.0	210.0	1229.0	90.0	16.0	62.0	402.0	13.0	368.0	284.0	19.0	64.0	793.0	0.0	2104.0	542.0	33.0	140.0	1554.0	8.0	1364.0	330.0	0.0	708.0	209.0	9.0	688.0	258.0	0.0	233.0	0.0	22.0	160.0	441.0	4.0	544.0	656.0	20.0	572.0	161.0	0.0	37.0	742.0	36.0	509.0
