pathway	E1	E2	E3	E4	E5	NS1	NS2	NS3	NS4	NS5	NS6	QS1	QS2	QS3	QS4	QS5	QS6	QS7	QS8	S1	S10	S11	S12	S13	S14	S2	S3	S4	S5	S6	S7	S8	S9
12DICHLORETHDEG-PWY	50.92845620612984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.53603583223997	0.0	0.0	0.0	0.0
14DICHLORBENZDEG-PWY	19.838355101513	0.0	0.0	0.0	0.0	0.0	0.0	7.272727272727273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.54630700005066	0.0	0.0	0.0	0.0
1CMET2-PWY	5591.631629619292	2362.584355326378	3573.1219413923627	4321.822206022704	4130.084749785692	3964.662161921709	7729.0387037831215	8073.577798815558	3239.3647659645717	3990.9668077679225	3532.993163445633	8068.844681791474	7187.797928928982	7788.110936772131	1508.0050270919176	1346.6014913714785	3869.216335286809	6241.679148644935	1597.163064178792	2818.882113435456	3698.3851624593885	3214.665931219849	4102.9179655351145	1974.5090578370257	2824.219631934584	2976.1025117605645	719.3208020634531	1832.271494784593	5272.1621557723165	2763.329772779625	3248.76342371074	2757.4182535146697	1825.2558979569158
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	60.276967907021465	0.0	2.4160872395906816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.061993162673585	0.0	13.506546887963692	5.403178647326423	18.835410054180837	9.28267786331832	6.29438250962245	0.0	11.734227232586225	0.0	10.911514781124675	120.90277488930887	15.41568429836329	5.525165253151791	8.161887366695405	8.549811259664223
AEROBACTINSYN-PWY	51.465322991829474	0.0	0.0	0.0	7.411764705882353	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.89138589746965	0.0	0.0	0.0	95.43452699091395	0.0	31.420381100292694	69.94285714285715	4.362783424550431	19.365309645575163	15.937656554411355	0.9587528418317636	44.3168495415602	0.0	21.76501116408183	198.63359642872527	21.558987840946436	48.57416267942583	36.84751550751392	6.7852181161433744
ALLANTOINDEG-PWY	243.42408166179968	0.0	0.0	9.475096816120478	0.0	0.0	0.0	23.73870743571925	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	185.79246603256453	0.0	74.84534531098973	129.5613354016665	22.72026453563775	48.54247277014505	35.18113664932868	10.688173852519654	110.33759572009332	0.0	56.3184313033425	473.8870450294148	65.96366664798731	86.95421341801924	88.0564788187466	28.641527651257377
ANAEROFRUCAT-PWY	9088.759779114338	5145.588323280922	4906.966185815103	5085.510983907711	6389.624230661777	6922.2479587437665	7453.990749457325	3170.545559178981	6050.9839835962875	6931.890694012251	2838.4893116112708	9950.715099686488	5581.576859197935	7808.052535224311	3969.284113009107	4222.929965878948	2817.3255611934565	6077.191459717724	4046.785981639816	7515.241642587075	5131.104792359955	6593.802362209676	6482.691538848823	4779.486905069896	7826.8582685650745	6333.508634941168	1781.03219316968	6468.9427624531745	6489.328409213107	7670.5359917348505	5753.659851475024	4039.6401969398403	3953.0467692985635
ANAGLYCOLYSIS-PWY	10602.974401860592	10867.156073560518	5455.47548660281	5604.743527844233	7142.762854747211	8660.331328121669	9490.111138079252	4277.620548690694	6750.17946365141	8697.578082627544	3773.23577769228	12455.034148997853	7144.880271319577	9668.790304619146	5180.180621018686	4775.532311055941	3542.55014872038	7377.287710066319	5053.111399468354	8124.6602558909635	5582.387014433204	8795.412444963107	7187.962734233842	5121.595156518082	11807.775180983732	6891.679119212577	1849.1675209508937	6933.774095404714	7372.213394350594	11781.995449460424	6208.62342501984	4309.665351457614	4340.579639924552
ARG+POLYAMINE-SYN	3240.372909769514	929.0405042710195	1194.7818785185734	2021.046583795852	2487.1091414388166	2170.8719629873003	2131.970416264444	1228.1622917563604	765.2382169721238	2787.170100712444	557.6066907088016	2345.450195263237	2306.300625089829	2553.7993003960587	1391.554090657283	1725.1622156953242	483.2322524202529	1584.794083731261	1384.6142174153617	2030.7228445820622	1452.6271626705168	1748.8805336466528	1803.4556033639658	1293.9902563292342	2596.3948952685923	1845.9806356367794	470.1721876617159	1028.424544283397	3209.299849618413	1393.9729318674454	1654.0216135635242	1251.478755815209	1175.2156640549852
ARGDEG-IV-PWY	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.76248890907542	0.0	0.0	0.0	0.0
ARGDEG-PWY	54.2918667465365	0.0	4.761320528093565	2.7664691237857193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.774770771500236	0.0	47.38236861012467	24.973731454776093	24.657763540459502	25.00485994975249	16.2534440773535	0.0	49.486500731247716	0.0	27.957611823160043	183.36817719670682	42.479485181191386	24.064846467576455	40.40138860062468	23.251993061095035
ARGININE-SYN4-PWY	3076.89146141345	1525.949074772233	2902.6083688994627	3877.809560493978	3661.430402779998	1999.7890093268084	1326.2325511966021	530.8640445226754	1392.4305167891596	1587.0985310242436	692.837632152801	2169.916427794973	1915.0974625144177	1520.533143194704	495.8578719895715	507.2109735982996	1024.8787995798198	1007.9962111007812	719.0855982094789	1508.1445438799904	2721.96036905139	2034.5962078086854	2655.7683978230284	1445.203248686832	1458.3361617063229	1544.4665907854035	316.1813756660978	1163.8084515329676	3058.633470711219	1466.0342320904674	2178.083055037727	1698.7346319142862	1534.0151630110408
ARGSYN-PWY	7340.498219096124	2075.5316797293535	4070.516287015659	4180.516168059452	4913.524907649191	16924.14774943665	18300.479621306487	9240.380442869455	10254.698126472604	14404.367145098759	5946.389133949261	19903.314150163	10316.353395022204	15233.808674320384	10490.303785158047	4460.333966719122	4378.001166724447	9376.901217261997	6101.304151867456	6692.248302542942	4166.008287895965	4773.412596068987	5820.787617173592	4668.882543381328	4867.172997213366	6949.037625544323	2458.5717637287767	7002.961140933037	6191.210736434923	4033.930887907638	5829.1891426086895	4097.456853011967	3236.327345646274
ARGSYNBSUB-PWY	8026.832375002752	2149.186691723247	3993.8265370763643	3806.3447604400135	4722.201922327607	18685.145260521113	20653.36994582872	10342.851271974068	11595.7959882294	16232.471530041212	6649.377027654165	22457.01318551509	11524.35373555979	17174.583463944815	11889.031681753551	4985.100933614358	4921.147547143754	10544.532119180003	6737.596050601547	7455.919716248549	4373.1050036357	5037.985541023277	6314.77938160012	5190.472779561586	5182.629522919886	7827.976983939746	2769.206287766081	7858.939829124717	6816.864784775391	4194.688023985042	6421.992858328135	4535.450120804407	3545.73698314314
ARO-PWY	11148.502373383044	11451.309966629753	6134.58660076111	6535.651414798399	8158.265251102867	18598.951964364664	20314.690417051635	11238.73419414394	11191.513039254018	16539.118016178487	6499.602270676685	21528.98550045386	12469.294766758872	17037.900349177547	11065.25217434198	5863.858304916329	5446.841143701847	11266.832337182555	6800.2992261174395	8916.895319846863	5997.904795217003	9202.200171801567	7754.913540235357	5957.777106221513	12764.346251638704	8102.696492631228	2797.68840372388	8816.570333118676	7872.539695563435	11955.209379410211	7415.224104679088	4934.391108442283	4757.888415670095
