sample-id	Public description	Organism	Host	Isolation source	Collection date	Geographic location	Latitude longitude	Description
E1	E-cigarettes smoking 1	human oral metagenome	Homo sapiens	saliva	2019-06-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Ecigarettes
E2	E-cigarettes smoking 2	human oral metagenome	Homo sapiens	saliva	2019-06-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Ecigarettes
E3	E-cigarettes smoking 3	human oral metagenome	Homo sapiens	saliva	2019-06-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Ecigarettes
E4	E-cigarettes smoking 4	human oral metagenome	Homo sapiens	saliva	2019-06-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Ecigarettes
E5	E-cigarettes smoking 5	human oral metagenome	Homo sapiens	saliva	2019-06-28T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Ecigarettes
S1	Common tobacco smoking 1	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S2	Common tobacco smoking 2	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S3	Common tobacco smoking 3	human oral metagenome	Homo sapiens	saliva	2019-07-04T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S4	Common tobacco smoking 4	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S5	Common tobacco smoking 5	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S6	Common tobacco smoking 6	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S7	Common tobacco smoking 7	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S8	Common tobacco smoking 8	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S9	Common tobacco smoking 9	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S10	Common tobacco smoking 10	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S11	Common tobacco smoking 11	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S12	Common tobacco smoking 12	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S13	Common tobacco smoking 13	human oral metagenome	Homo sapiens	saliva	2019-07-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
S14	Common tobacco smoking 14	human oral metagenome	Homo sapiens	saliva	2019-08-02T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	Tobacco
NS1	Non-smoking 1	human oral metagenome	Homo sapiens	saliva	2019-06-28T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	None
NS2	Non-smoking 2	human oral metagenome	Homo sapiens	saliva	2019-06-13T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	None
NS3	Non-smoking 3	human oral metagenome	Homo sapiens	saliva	2019-05-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	None
NS4	Non-smoking 4	human oral metagenome	Homo sapiens	saliva	2019-05-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	None
NS5	Non-smoking 5	human oral metagenome	Homo sapiens	saliva	2019-05-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	None
NS6	Non-smoking 6	human oral metagenome	Homo sapiens	saliva	2019-05-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	None
QS1	Quitting smoking with tobacco 1	human oral metagenome	Homo sapiens	saliva	2019-08-02T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	NA
QS2	Quitting smoking with tobacco 2	human oral metagenome	Homo sapiens	saliva	2019-08-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	NA
QS3	Quitting smoking with tobacco 3	human oral metagenome	Homo sapiens	saliva	2019-08-01T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	NA
QS4	Quitting smoking with tobacco 4	human oral metagenome	Homo sapiens	saliva	2019-07-04T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	NA
QS5	Quitting smoking with tobacco 5	human oral metagenome	Homo sapiens	saliva	2019-07-04T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	NA
QS6	Quitting smoking with tobacco 6	human oral metagenome	Homo sapiens	saliva	2019-07-04T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	NA
QS7	Quitting smoking with tobacco 7	human oral metagenome	Homo sapiens	saliva	2019-07-04T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	NA
QS8	Quitting smoking with tobacco 8	human oral metagenome	Homo sapiens	saliva	2019-05-30T00:00:00Z	China:KunMing,Yunnan	25.05 N 102.82 E	NA
